master_sheet_region,master_sheet_district,geojson_district,geojson_region,match_method,note
Western,Shama,SHAMA,WESTERN,exact_normalized,
Ahafo,Tano North Municipal,TANO NORTH MUNICIPAL,AHAFO,exact_normalized,
Western,Wassa East,WASSA EAST,WESTERN,exact_normalized,
Volta,Ketu North Municipal,KETU NORTH,VOLTA,exact_normalized,
Western,Mpohor,MPOHOR,WESTERN,exact_normalized,
Western,Wassa Amenfi West Municipal,WASSA AMENFI WEST,WESTERN,exact_normalized,
Volta,Ketu South Municipal,KETU SOUTH,VOLTA,exact_normalized,
Western,Wassa Amenfi Central,WASSA AMENFI CENTRAL,WESTERN,exact_normalized,
Volta,Keta Municipal,KETA MUNICIPAL,VOLTA,exact_normalized,
Oti,Kadjebi,KADJEBI,OTI,exact_normalized,
Central,Mfantsiman Municipal,MFANTSEMAN MUNICIPAL,CENTRAL,manual_vetted,
Volta,South Tongu,SOUTH TONGU,VOLTA,exact_normalized,
Central,Ekumfi,EKUMFI,CENTRAL,exact_normalized,
Central,Twifo Heman Lower Denkyira,TWIFO HEMANG LOWER DENKYIRA,CENTRAL,manual_vetted,
Oti,Jasikan Municipal,JASIKAN,OTI,exact_normalized,
Central,Twifo Ati Morkwa,TWIFO ATTI-MORKWA,CENTRAL,manual_vetted,
Oti,Krachi East Municipal,KRACHI EAST MUNICIPAL,OTI,exact_normalized,
Central,Awutu Senya West,AWUTU SENYA,CENTRAL,manual_vetted,
Oti,Nkwanta South Municipal,NKWANTA SOUTH MUNICIPAL,OTI,exact_normalized,
Central,Awutu Senya East Municipal,AWUTU SENYA EAST,CENTRAL,exact_normalized,
Ashanti,Afigya Kwabre South,AFIGYA KWABRE SOUTH,ASHANTI,exact_normalized,
Greater Accra,La Nkwantanang Madina Municipal,LA-NKWANTANANG-MADINA,GREATER ACCRA,exact_normalized,
Ashanti,Atwima Kwanwoma,ATWIMA KWANWOMA,ASHANTI,exact_normalized,
Ashanti,Sekyere South,SEKYERE SOUTH,ASHANTI,exact_normalized,
Greater Accra,Ga East Municipal,GA EAST,GREATER ACCRA,exact_normalized,
Greater Accra,Ayawaso West Municipal,AYAWASO WEST,GREATER ACCRA,exact_normalized,
Ashanti,Sekyere East,SEKYERE EAST,ASHANTI,exact_normalized,
Greater Accra,Ga South Municipal,GA SOUTH MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Ga West Municipal,GA WEST MUNICIPAL,GREATER ACCRA,exact_normalized,
Ashanti,Sekyere Central,SEKYERE CENTRAL,ASHANTI,exact_normalized,
Greater Accra,Ga Central Municipal,GA CENTRAL MUNICIPAL,GREATER ACCRA,exact_normalized,
Ashanti,Offinso North,OFFINSO NORTH,ASHANTI,exact_normalized,
Oti,Krachi West Municipal,KRACHI WEST,OTI,exact_normalized,
Ashanti,Offinso Municipal,OFFINSO MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Obuasi Municipal,OBUASI MUNICIPAL,ASHANTI,exact_normalized,
Oti,Krachi Nchumuru,KRACHI NCHUMURU,OTI,exact_normalized,
Ashanti,Kwabre East,KWABRE EAST,ASHANTI,exact_normalized,
Volta,Agortime-Ziope,AGOTIME ZIOPE,VOLTA,manual_vetted,
Volta,Adaklu,ADAKLU,VOLTA,exact_normalized,
Ashanti,Ejura Sekyedumase Municipal,EJURA-SEKYEDUMASE,ASHANTI,exact_normalized,
Ashanti,Atwima Nwabiagya South Municipal,ATWIMA NWABIAGYA SOUTH,ASHANTI,exact_normalized,
Volta,Akatsi South Municipal,AKATSI SOUTH,VOLTA,exact_normalized,
Ashanti,Atwima Mponua,ATWIMA MPONUA,ASHANTI,exact_normalized,
Volta,Akatsi North,AKATSI NORTH,VOLTA,exact_normalized,
Volta,Ho Municipal,HO MUNICIPAL,VOLTA,exact_normalized,
Ashanti,Adansi South,ADANSI SOUTH,ASHANTI,exact_normalized,
Volta,Hohoe Municipal,HOHOE MUNICIPAL,VOLTA,exact_normalized,
Ashanti,Adansi Asokwa,ADANSI ASOKWA,ASHANTI,exact_normalized,
Volta,Ho West,HO WEST,VOLTA,exact_normalized,
Ashanti,Bosome Freho,BOSOME FREHO,ASHANTI,exact_normalized,
Volta,Afadzato South,AFADZATO SOUTH,VOLTA,exact_normalized,
Ashanti,Ahafo Ano South East,AHAFO ANO SOUTH EAST,ASHANTI,exact_normalized,
Volta,North Dayi,NORTH DAYI,VOLTA,exact_normalized,
Ashanti,Bekwai Municipal,BEKWAI MUNICIPAL,ASHANTI,exact_normalized,
Volta,Kpando Municipal,KPANDO MUNICIPAL,VOLTA,exact_normalized,
Ashanti,Bosomtwi,BOSOMTWE,ASHANTI,manual_vetted,
Volta,North Tongu,NORTH TONGU,VOLTA,exact_normalized,
Volta,Central Tongu,CENTRAL TONGU,VOLTA,exact_normalized,
Ashanti,Mampong Municipal,MAMPONG MUNICIPAL,ASHANTI,exact_normalized,
Central,Ajumako Enyan Essiam,AJUMAKO-ENYAN-ESSIAM,CENTRAL,exact_normalized,
Central,Gomoa West,GOMOA WEST,CENTRAL,exact_normalized,
Central,Agona West Municipal,AGONA WEST MUNICIPAL,CENTRAL,exact_normalized,
Central,Agona East,AGONA EAST,CENTRAL,exact_normalized,
Central,Assin North,ASSIN NORTH,CENTRAL,exact_normalized,
Central,Assin South,ASSIN SOUTH,CENTRAL,exact_normalized,
Central,Asikuma Odoben Brakwa,ASIKUMA-ODOBEN-BRAKWA,CENTRAL,exact_normalized,
Central,Effutu Municipal,EFFUTU MUNICIPAL,CENTRAL,exact_normalized,
Central,Gomoa East,GOMOA EAST,CENTRAL,exact_normalized,
Central,Abura Asebu Kwamankese,ABURA-ASEBU-KWAMANKESE,CENTRAL,exact_normalized,
Western,Jomoro Municipal,JOMORO,WESTERN,exact_normalized,
Western,Ellembelle,ELLEMBELLE,WESTERN,exact_normalized,
Bono,Dormaa Central Municipal,DORMAA MUNICIPAL,BONO,manual_vetted,
Bono,Dormaa West,DORMAA WEST,BONO,exact_normalized,
Upper West,Nadowli Kaleo,NADOWLI-KALEO,UPPER WEST,exact_normalized,
Western,Prestea/Huni Valley Municipal,PRESTEA/HUNI VALLEY,WESTERN,exact_normalized,
Western,Ahanta West Municipal,AHANTA WEST MUNICIPAL,WESTERN,exact_normalized,
Upper West,Daffiama Bussie Issa,DAFFIAMA BUSSIE ISSA,UPPER WEST,exact_normalized,
Western,Nzema East Municipal,NZEMA EAST,WESTERN,exact_normalized,
Upper West,Lawra Municipal,LAWRA,UPPER WEST,exact_normalized,
Upper West,Nandom,NANDOM,UPPER WEST,exact_normalized,
Western,Tarkwa-Nsuaem Municipal,TARKWA NSUAEM,WESTERN,exact_normalized,
Upper East,Talensi,TALENSI,UPPER EAST,exact_normalized,
Western North,Sefwi Akontombra,SEFWI AKONTOMBRA,WESTERN NORTH,exact_normalized,
Western,Effia Kwesimintsim Municipal,EFFIA KWESIMINTSIM MUNICIPAL,WESTERN,exact_normalized,
Upper East,Nabdam,NABDAM,UPPER EAST,exact_normalized,
Upper East,Builsa South,BUILSA SOUTH,UPPER EAST,exact_normalized,
Upper East,Builsa North Municipal,BUILSA NORTH,UPPER EAST,exact_normalized,
Upper East,Binduri,BINDURI,UPPER EAST,exact_normalized,
Upper East,Pusiga,PUSIGA,UPPER EAST,exact_normalized,
Upper East,Bawku Municipal,BAWKU MUNICIPAL,UPPER EAST,exact_normalized,
Savannah,North Gonja,NORTH GONJA,SAVANNAH,exact_normalized,
Savannah,West Gonja,WEST GONJA,SAVANNAH,exact_normalized,
Northern,Mion,MION,NORTHERN,exact_normalized,
Northern,Yendi Municipal,YENDI MUNICIPAL,NORTHERN,exact_normalized,
Northern,Tolon,TOLON,NORTHERN,exact_normalized,
Northern,Kumbungu,KUMBUNGU,NORTHERN,exact_normalized,
North East,West Mamprusi Municipal,WEST MAMPRUSI MUNICIPAL,NORTHERN EAST,exact_normalized,
North East,Mamprugu Moagduri,MAMPRUGU MOAGDURI,NORTHERN EAST,exact_normalized,
Northern,Zabzugu,ZABZUGU,NORTHERN,exact_normalized,
Northern,Tatale Sanguli,TATALE SANGULI,NORTHERN,exact_normalized,
Bono East,Sene East,SENE EAST,BONO EAST,exact_normalized,
Western North,Bibiani Anhwiaso Bekwai Municipal,BIBIANI-ANHWIASO-BEKWAI MUNICIPAL,WESTERN NORTH,exact_normalized,
Bono East,Sene West,SENE WEST,BONO EAST,exact_normalized,
Central,Upper Denkyira East Municipal,UPPER DENKYIRA EAST MUNICIPAL,CENTRAL,exact_normalized,
Ahafo,Asutifi North,ASUTIFI NORTH,AHAFO,exact_normalized,
Ashanti,Ahafo Ano North Municipal,AHAFO ANO NORTH,ASHANTI,exact_normalized,
Ashanti,Amansie Central,AMANSIE CENTRAL,ASHANTI,exact_normalized,
Ashanti,Amansie West,AMANSIE WEST,ASHANTI,exact_normalized,
Ahafo,Asutifi South,ASUTIFI SOUTH,AHAFO,exact_normalized,
Bono East,Techiman Municipal,TECHIMAN MUNICIPAL,BONO EAST,exact_normalized,
Central,Upper Denkyira West,UPPER DENKYIRA WEST,CENTRAL,exact_normalized,
Bono East,Techiman North,TECHIMAN NORTH,BONO EAST,exact_normalized,
Central,Cape Cape Metropolitan Area (CCMA)-Cape Coast South & Cape Coast North,CAPE COAST METROPOLITAN,CENTRAL,manual_vetted,
Central,Komenda Edina Eguafo Abirem Municipal,KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,CENTRAL,exact_normalized,
Bono,Banda,BANDA,BONO,exact_normalized,
Western North,Sefwi Wiawso Municipal,SEFWI-WIAWSO,WESTERN NORTH,exact_normalized,
Bono,Jaman North,JAMAN NORTH,BONO,exact_normalized,
Ahafo,Asunafo South,ASUNAFO SOUTH,AHAFO,exact_normalized,
Bono,Tain,TAIN,BONO,exact_normalized,
Bono East,Nkoranza South Municipal,NKORANZA SOUTH,BONO EAST,exact_normalized,
Ashanti,Sekyere Kumawu,SEKYERE KUMAWU,ASHANTI,exact_normalized,
Savannah,Bole,BOLE,SAVANNAH,exact_normalized,
Ashanti,Sekyere Afram Plains,SEKYERE AFRAM PLAINS NORTH,ASHANTI,manual_vetted,
Ashanti,Asante Akim North Municipal,ASANTE AKIM NORTH,ASHANTI,exact_normalized,
Ashanti,Asante Akim Central Municipal,ASANTE AKIM CENTRAL MUNICIPAL,ASHANTI,exact_normalized,
Bono East,Kintampo North Municipal,KINTAMPO NORTH MUNICIPAL,BONO EAST,exact_normalized,
Ashanti,Asokore Mampong Municipal,ASOKORE MAMPONG MUNICIPAL,ASHANTI,exact_normalized,
Bono East,Atebubu Amantin Municipal,ATEBUBU AMANTIN,BONO EAST,exact_normalized,
Ashanti,Kwadaso Municipal,KWADASO MUNICIPAL,ASHANTI,exact_normalized,
Northern,Kpandai,KPANDAI,NORTHERN,exact_normalized,
Ashanti,Ejisu Municipal,EJISU MUNICIPAL,ASHANTI,exact_normalized,
Oti,Nkwanta North (Kpassa),NKWANTA NORTH,OTI,exact_normalized,
Oti,Biakoye,BIAKOYE,OTI,exact_normalized,
Western,Wassa Amenfi East Municipal,WASSA AMENFI EAST,WESTERN,exact_normalized,
Savannah,Central Gonja,CENTRAL GONJA,SAVANNAH,exact_normalized,
Greater Accra,Tema West Municipal,TEMA WEST MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Ashaiman Municipal,ASHAIMAN MUNICIPAL,GREATER ACCRA,exact_normalized,
Bono East,Pru East,PRU EAST,BONO EAST,exact_normalized,
Greater Accra,Kpone Katamanso Municipal,KPONE KATAMANSO,GREATER ACCRA,exact_normalized,
Northern,Savelugu Municipal,SAVELUGU,NORTHERN,exact_normalized,
Northern,Tamale Metropolitan Area (TMA)-Tamale Central & Tamale South,TAMALE METROPOLITAN,NORTHERN,manual_vetted,
Northern,Sagnarigu Municipal,SAGNERIGU,NORTHERN,manual_vetted,
Northern,Karaga,KARAGA,NORTHERN,exact_normalized,
Savannah,North East Gonja,NORTH EAST GONJA,SAVANNAH,exact_normalized,
Volta,South Dayi,SOUTH DAYI,VOLTA,exact_normalized,
Upper East,Tempane,TEMPANE,UPPER EAST,exact_normalized,
Upper East,Bolgatanga East,BOLGA  EAST,UPPER EAST,manual_vetted,
North East,Yunyoo Nasuan,YUNYOO-NASUAN,NORTHERN EAST,exact_normalized,
Northern,Nanton,NANTON,NORTHERN,exact_normalized,
Central,Assin Central Municipal,ASSIN FOSU,CENTRAL,manual_vetted,
Central,Gomoa Central,GOMOA CENTRAL,CENTRAL,exact_normalized,
Bono East,Pru West,PRU WEST,BONO EAST,exact_normalized,
Bono,Berekum West,BEREKUM WEST,BONO,exact_normalized,
Ashanti,Ahafo Ano South West,AHAFO ANO SOUTH WEST,ASHANTI,exact_normalized,
Ashanti,Amansie South,AMANSIE SOUTH,ASHANTI,exact_normalized,
Ashanti,Atwima Nwabiagya North,ATWIMA NWABIAGYA NORTH,ASHANTI,exact_normalized,
Ashanti,Akrofuom,ADANSI AKROFUOM,ASHANTI,manual_vetted,
Ashanti,Adansi North,ADANSI NORTH,ASHANTI,exact_normalized,
Ashanti,Obuasi East,OBUASI EAST,ASHANTI,exact_normalized,
Ashanti,Afigya Kwabre North,AFIGYA KWABRE NORTH,ASHANTI,exact_normalized,
Ashanti,"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",KUMASI METROPOLITAN,ASHANTI,manual_vetted,
Ashanti,Oforikrom Municipal,OFORIKROM MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Asokwa Municipal,ASOKWA  MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Old Tafo Municipal,OLD TAFO MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Suame Municipal,SUAME MUNICIPAL,ASHANTI,exact_normalized,
Ashanti,Juaben Municipal,JUABEN MUNICIPAL,ASHANTI,exact_normalized,
Greater Accra,Ablekuma Central Municipal,ABLEKUMA CENTRAL MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Korle Klottey Municipal,KORLE KLOTTEY MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Ablekuma North Municipal,ABLEKUMA NORTH MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Ayawaso North Municipal,AYAWASO NORTH MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Ayawaso East Municipal,AYAWASO EAST MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Okaikoi North Municipal,OKAIKWEI NORTH MUNICIPAL,GREATER ACCRA,manual_vetted,
Greater Accra,Ga North Municipal,GA NORTH MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Weija Gbawe Municipal,WEIJA GBAWE MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Krowor Municipal,KROWOR MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Tema Metropolitan Area (TMA)-Tema Central & Tema East,TEMA METROPOLITAN,GREATER ACCRA,manual_vetted,
Savannah,East Gonja Municipal,EAST GONJA MUNICIPAL,SAVANNAH,exact_normalized,
Greater Accra,Ablekuma West Municipal,ABLEKUMA WEST MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,Ayawaso Central Municipal,AYAWASO CENTRAL MUNICIPAL,GREATER ACCRA,exact_normalized,
Greater Accra,"Accra Metropolitan Area (AMA)-Ablekuma South, Ashiedu Keteke & Okaikoi South",ACCRA METROPOLIS,GREATER ACCRA,manual_vetted,
Volta,Anloga,ANLOGA,VOLTA,exact_normalized,
Western,"Sekondi Takoradi Metropolitan Area (STMA)- Takoradi, Sekondi & Essikado-Ketan",SEKONDI TAKORADI METROPOLIS,WESTERN,manual_vetted,
Eastern,Kwahu South Municipal,KWAHU SOUTH,EASTERN,exact_normalized,
Eastern,Asene Manso Akroso,ASENE AKROSO MANSO,EASTERN,manual_vetted,
Eastern,Upper Manya Krobo,UPPER MANYA,EASTERN,manual_vetted,
Eastern,Achiase,ACHIASE,EASTERN,exact_normalized,
Eastern,Okere,OKERE,EASTERN,exact_normalized,
Eastern,Yilo Krobo Municipal,YILO KROBO,EASTERN,exact_normalized,
Eastern,Atiwa West,ATIWA WEST,EASTERN,exact_normalized,
Eastern,New Juaben North Municipal,NEW JUABEN NORTH MUNICIPAL,EASTERN,exact_normalized,
Eastern,Fanteakwa North,FANTEAKWA NORTH,EASTERN,exact_normalized,
Eastern,Birim North,BIRIM NORTH,EASTERN,exact_normalized,
Eastern,Asuogyaman,ASUOGYAMAN,EASTERN,exact_normalized,
Eastern,Kwahu East,KWAHU EAST,EASTERN,exact_normalized,
Eastern,Kwahu West Municipal,KWAHU WEST,EASTERN,exact_normalized,
Eastern,Lower Manya Krobo Municipal,LOWER MANYA,EASTERN,manual_vetted,
Eastern,Nsawam Adoagyiri Municipal,NSAWAM ADOAGYIRI,EASTERN,exact_normalized,
Eastern,Akwapim South Municipal,AKWAPEM SOUTH,EASTERN,manual_vetted,
Eastern,Denkyembuor,DENKYEMBOUR,EASTERN,manual_vetted,
Eastern,Kwaebibirem Municipal,KWAEBIBIREM,EASTERN,exact_normalized,
Eastern,Kwahu Afram Plains South,KWAHU AFRAM PLAINS SOUTH,EASTERN,exact_normalized,
Eastern,Kwahu Afram Plains North,KWAHU AFRAM PLAINS NORTH,EASTERN,exact_normalized,
Eastern,Suhum Municipal,SUHUM MUNICIPAL,EASTERN,exact_normalized,
Eastern,Ayensuano,AYENSUANO,EASTERN,exact_normalized,
Eastern,Abuakwa South Municipal,ABUAKWA SOUTH,EASTERN,exact_normalized,
Eastern,Upper West Akim,UPPER WEST AKIM,EASTERN,exact_normalized,
Eastern,West Akim Municipal,WEST AKIM,EASTERN,exact_normalized,
Eastern,Akyemansa,AKYEM MANSA,EASTERN,manual_vetted,
Eastern,Atiwa East,ATIWA EAST,EASTERN,exact_normalized,
Eastern,New Juaben South Municipal,NEW JUABEN SOUTH MUNICIPAL,EASTERN,exact_normalized,
Eastern,Birim South,BIRIM SOUTH,EASTERN,exact_normalized,
Eastern,Abuakwa North Municipal,ABUAKWA NORTH,EASTERN,exact_normalized,
Eastern,Akwapim North Municipal,AKWAPEM NORTH,EASTERN,manual_vetted,
Eastern,Fanteakwa South,FANTEAKWA SOUTH,EASTERN,exact_normalized,
Eastern,Birim Central Municipal,BIRIM CENTRAL MUNICIPAL,EASTERN,exact_normalized,
Oti,Guan,,,structural_gap,"Created 2019 (LI 2363), Oti Region; absent from 2017 GeoJSON. Tabular/ML only; excluded from maps."
